year,coc_number,hic_es_total_year_round_beds,hic_es_total_non_dv_year_round_beds,hic_es_total_hmis_year_round_beds,hic_es_total_seasonal_beds,hic_es_total_overflow_beds,hic_es_total_units_for_households_with_children,hic_es_total_beds_for_households_with_children,hic_es_total_beds_for_households_without_children,hic_th_total_year_round_beds,hic_th_total_non_dv_year_round_beds,hic_th_total_hmis_year_round_beds,hic_th_total_units_for_households_with_children,hic_th_total_beds_for_households_with_children,hic_th_total_beds_for_households_without_children,hic_psh_total_year_round_beds,hic_psh_total_non_dv_year_round_beds,hic_psh_total_hmis_year_round_beds,hic_psh_total_chronic_homeless_beds,hic_psh_total_units_for_households_with_children,hic_psh_total_beds_for_households_with_children,hic_psh_total_beds_for_households_without_children,hic_sh_total_year_round_beds,hic_sh_total_non_dv_year_round_beds,hic_sh_total_hmis_year_round_beds,hic_sh_total_beds_for_households_without_children,hic_es_total_beds_for_households_with_only_children,hic_th_total_beds_for_households_with_only_children,hic_sh_total_beds_for_households_with_only_children,hic_psh_total_beds_for_households_with_only_children,hic_rrh_total_year_round_beds,hic_rrh_total_non_dv_year_round_beds,hic_rrh_total_hmis_year_round_beds,hic_rrh_total_units_for_households_with_children,hic_rrh_total_beds_for_households_with_children,hic_rrh_total_beds_for_households_without_children,hic_rrh_total_beds_for_households_with_only_children,hic_sh_total_units_for_households_with_children,hic_sh_total_beds_for_households_with_children,hic_oph_total_year_round_beds,hic_oph_total_non_dv_year_round_beds,hic_oph_total_hmis_year_round_beds,hic_oph_total_units_for_households_with_children,hic_oph_total_beds_for_households_with_children,hic_oph_total_beds_for_households_without_children,hic_oph_total_beds_for_households_with_only_children,hic_es_dedicated_veteran_beds,hic_es_dedicated_youth_beds,hic_th_dedicated_veteran_beds,hic_th_dedicated_youth_beds,hic_sh_dedicated_veteran_beds,hic_sh_dedicated_youth_beds,hic_rrh_dedicated_veteran_beds,hic_rrh_dedicated_youth_beds,hic_psh_dedicated_veteran_beds,hic_psh_dedicated_youth_beds,hic_oph_dedicated_veteran_beds,hic_oph_dedicated_youth_beds
2018,NY-516,188,188,174,0,0,26,78,110,8,8,8,0,0,8,67,67,62,2,13,35,32,0,0,0,0,0,0,false,0,10,10,10,0,0,10,0,false,false,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0
2007,NY-517,9,0,0,0,0,1,7,2,19,19,0,5,15,4,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,NY-517,9,0,0,0,0,1,7,2,19,19,0,6,18,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,NY-517,9,0,0,0,0,1,7,2,19,19,19,6,18,1,34,34,34,0,9,34,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,NY-517,9,0,0,0,0,1,7,2,50,50,50,15,49,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,NY-517,24,15,0,0,1,1,7,17,50,50,50,15,49,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,NY-517,24,15,0,0,1,1,7,17,68,68,50,15,49,19,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,NY-517,25,16,0,0,0,1,7,18,67,67,19,15,48,19,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2014,NY-517,25,16,0,0,9,1,7,18,57,57,19,11,38,19,0,0,0,,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2007,NY-518,98,76,76,0,6,21,56,42,362,317,77,23,62,300,346,346,337,20,61,179,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,NY-518,88,66,54,0,6,18,54,34,357,357,107,27,69,288,331,331,323,20,84,180,151,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,NY-518,88,66,54,0,6,18,49,39,355,355,105,26,67,288,329,329,329,20,84,180,149,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,NY-518,94,72,54,0,6,18,45,49,346,301,54,27,63,283,456,456,451,18,105,254,202,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,NY-518,126,104,64,0,10,20,47,79,76,31,22,20,53,23,547,547,455,34,120,280,267,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,NY-518,140,112,46,0,10,28,66,73,79,40,23,20,58,21,525,525,471,41,100,258,267,0,0,0,0,1,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,NY-518,144,116,48,0,4,26,58,85,78,39,29,21,57,21,430,430,367,51,91,217,213,0,0,0,0,1,0,false,0,34,34,34,7,23,11,0,,,,,,,,,,,,,,,,,,,,,
2014,NY-518,115,87,46,0,5,22,45,70,56,22,19,20,37,19,575,575,466,,122,198,377,0,0,0,0,0,0,false,0,59,59,59,8,16,43,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,NY-518,115,87,46,0,9,22,45,70,57,23,20,20,37,20,526,526,454,,82,204,322,0,0,0,0,0,0,false,0,9,9,7,2,4,5,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2016,NY-518,116,88,46,0,9,22,45,71,58,24,14,24,41,17,494,494,437,,67,164,330,0,0,0,0,0,0,false,0,37,37,37,7,21,16,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2017,NY-518,130,102,56,0,0,22,45,85,71,34,24,28,54,17,460,460,403,31,65,140,320,0,0,0,0,0,0,false,0,24,24,24,4,15,9,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,57,0,0,0
2018,NY-518,128,100,70,0,0,16,44,78,52,28,22,22,48,4,474,474,420,31,60,138,336,0,0,0,0,6,0,false,0,41,41,41,8,24,17,0,false,false,0,0,0,0,0,0,0,0,6,0,7,0,0,9,0,54,0,0,0
2007,NY-519,86,61,46,0,0,16,51,35,96,96,51,8,16,80,51,51,51,3,2,4,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,NY-519,168,143,143,0,0,32,89,79,95,87,58,8,16,79,63,63,63,5,2,4,59,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,NY-519,241,216,146,0,0,41,165,76,95,87,51,8,16,79,75,75,75,5,2,4,71,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,NY-519,264,239,183,0,0,47,162,102,72,64,36,9,15,57,66,66,66,6,2,4,62,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,NY-519,25,0,0,0,152,23,23,2,8,0,0,4,8,0,32,32,22,6,7,17,15,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,NY-519,25,0,0,0,115,10,25,0,12,0,0,4,12,0,46,37,36,7,10,24,22,0,0,0,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,NY-519,37,0,0,0,84,14,37,0,0,0,0,0,0,0,57,45,38,10,11,30,27,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2014,NY-519,25,0,0,0,102,10,25,0,12,0,0,4,12,0,58,46,46,,12,31,27,0,0,0,0,0,0,false,0,2,2,2,0,0,2,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,NY-519,25,0,0,0,73,10,25,0,12,0,0,4,12,0,76,64,50,,18,45,31,0,0,0,0,0,0,false,0,2,2,2,0,0,2,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2016,NY-519,25,0,0,0,82,10,25,0,12,0,0,4,12,0,64,54,43,,11,29,35,0,0,0,0,0,0,false,0,9,9,9,0,0,9,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2017,NY-519,25,0,0,0,123,7,22,3,10,0,0,3,9,1,63,55,48,25,12,32,31,0,0,0,0,0,0,false,0,2,2,0,0,0,2,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0
2018,NY-519,25,0,0,0,174,7,22,3,10,0,0,3,9,1,53,45,38,26,12,31,22,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
2007,NY-520,5,5,5,0,0,0,0,5,0,0,0,0,0,0,6,6,6,0,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,NY-520,15,6,6,0,0,4,9,6,0,0,0,0,0,0,37,37,37,18,0,0,37,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,NY-520,15,6,6,0,0,4,9,6,0,0,0,0,0,0,37,37,37,18,0,0,37,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,NY-520,15,6,6,0,0,4,9,6,0,0,0,0,0,0,37,37,37,18,0,0,37,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,NY-520,15,6,6,0,0,4,9,6,0,0,0,0,0,0,37,37,37,18,0,0,37,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,NY-520,6,6,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,NY-520,17,17,0,0,14,2,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2014,NY-520,20,20,0,0,13,1,2,18,30,30,0,1,29,1,134,134,62,,1,5,129,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,NY-520,21,21,3,0,16,1,3,18,0,0,0,0,0,0,83,83,78,,39,81,2,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2016,NY-520,11,11,11,0,14,0,0,11,0,0,0,0,0,0,103,103,103,,47,97,6,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2017,NY-520,5,4,4,0,22,1,2,3,0,0,0,0,0,0,180,180,176,0,26,73,107,0,0,0,0,0,0,false,0,1,1,1,0,0,1,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2018,NY-520,5,5,5,0,25,2,4,1,14,14,14,2,8,6,21,21,21,0,8,14,7,0,0,0,0,0,0,false,0,2,2,2,1,2,0,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2007,NY-521,7,1,1,0,0,2,4,3,32,32,16,2,6,26,26,26,0,0,0,0,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,NY-522,39,0,0,0,0,6,18,21,76,76,0,1,2,74,62,62,62,0,5,25,37,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,NY-522,39,0,0,0,0,6,18,21,166,166,90,1,2,164,236,236,236,0,40,165,71,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,NY-522,39,0,0,0,0,6,18,21,190,190,90,1,2,188,389,389,250,0,43,175,214,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,NY-522,44,5,0,0,11,14,39,5,150,150,0,36,72,78,65,65,60,8,8,20,45,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,NY-522,46,9,0,0,13,3,37,9,42,42,0,0,0,42,112,112,112,3,9,21,91,0,0,0,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,NY-522,66,29,25,0,20,3,37,29,0,0,0,0,0,0,200,200,186,12,68,142,58,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2014,NY-522,48,0,1,0,22,3,30,17,124,124,9,2,20,104,375,375,225,,152,286,89,0,0,0,0,1,0,false,0,18,18,18,7,14,4,0,false,false,352,352,0,75,186,166,0,,,,,,,,,,,,
2015,NY-522,36,0,0,0,26,3,32,4,44,44,44,0,0,44,563,563,289,,115,333,230,0,0,0,0,0,0,false,0,34,34,5,11,29,5,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2016,NY-522,37,0,0,0,34,3,19,18,80,80,80,9,19,61,351,351,324,,78,230,121,0,0,0,0,0,0,false,0,214,214,214,51,104,110,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2017,NY-522,15,0,0,0,59,5,11,4,60,60,60,1,3,57,325,325,325,16,79,212,113,0,0,0,0,0,0,false,0,223,223,223,37,119,104,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,NY-522,17,0,0,0,24,3,13,4,62,62,61,2,4,58,336,336,336,28,79,209,127,0,0,0,0,0,0,false,0,184,184,184,32,107,77,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,NY-523,48,30,30,0,53,7,14,34,45,45,45,3,8,37,114,114,114,32,11,23,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,NY-523,52,34,34,0,31,7,14,38,34,19,19,3,9,25,128,123,123,22,20,50,78,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,NY-523,52,34,34,0,85,7,14,38,43,19,19,7,22,21,120,115,111,20,23,57,63,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,NY-523,51,33,33,0,85,6,12,39,48,19,19,9,26,22,145,135,133,22,25,61,84,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,NY-523,60,45,33,0,177,22,32,28,50,26,26,10,29,21,111,105,103,10,14,41,70,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,NY-523,57,41,35,0,162,19,33,24,73,50,50,12,32,41,110,100,100,11,15,38,72,0,0,0,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,NY-523,75,57,16,0,101,6,18,41,73,50,50,15,36,37,142,131,131,11,21,59,83,0,0,0,0,16,0,false,0,27,27,27,3,12,15,0,,,,,,,,,,,,,,,,,,,,,
2014,NY-523,91,73,53,0,121,7,26,49,65,42,42,15,35,30,161,152,152,,26,74,87,0,0,0,0,16,0,false,0,21,21,21,4,19,2,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,NY-523,78,60,54,0,199,7,16,46,38,38,38,0,0,24,249,239,143,,49,116,133,0,0,0,0,16,14,false,0,48,21,21,9,28,20,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2016,NY-523,74,56,56,0,189,6,16,42,32,32,32,5,10,22,229,214,125,,40,77,152,0,0,0,0,16,0,false,0,97,60,50,14,44,53,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2017,NY-523,75,59,59,0,145,4,10,49,36,36,36,5,10,26,244,233,151,20,39,109,135,0,0,0,0,16,0,false,0,50,23,10,13,32,18,0,false,false,0,0,0,0,0,0,0,6,16,22,10,0,0,13,10,109,4,0,0
2018,NY-523,78,60,57,73,76,4,13,55,32,32,28,5,10,22,236,224,169,38,40,104,132,0,0,0,0,10,0,false,0,71,34,21,15,51,20,0,false,false,0,0,0,0,0,0,0,6,16,22,10,0,0,9,21,97,0,0,0
2007,NY-524,80,71,0,0,4,3,16,64,142,120,0,6,22,120,203,203,0,0,27,56,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,NY-524,80,71,0,0,4,3,16,64,142,120,0,6,22,120,203,155,0,16,27,56,147,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,NY-524,73,64,0,0,0,2,10,63,166,144,0,6,22,144,197,149,0,16,27,56,141,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,NY-524,81,57,0,0,0,6,18,63,167,145,0,7,24,143,194,194,0,16,27,56,138,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,NY-524,81,57,0,0,0,12,30,51,167,145,0,10,31,136,194,194,0,16,27,56,138,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,NY-524,88,61,0,0,0,19,49,27,142,127,0,10,26,116,192,192,0,0,30,76,116,0,0,0,0,12,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,NY-600,39385,37138,35357,0,703,8795,27694,11691,7831,7374,2930,983,2920,4911,20369,19987,4265,1785,2150,6648,13721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,NY-600,38761,36677,34912,0,723,8890,28518,10243,8082,6910,5557,984,3161,4921,22187,21789,12659,2827,2172,6887,15300,131,131,125,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,NY-600,41811,39667,38165,0,544,10217,31546,10265,7489,6387,5054,693,1988,5501,24117,23830,16166,5061,2582,8016,16101,112,112,106,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,NY-600,44710,42541,40600,0,263,10580,32877,11833,7056,5909,5160,670,1909,5147,24270,23931,15087,5786,2295,7240,17030,112,112,106,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,NY-600,45767,43539,41661,0,182,10250,31852,13915,6819,5592,3560,608,1828,4991,27449,27127,13004,7593,2619,8244,19205,106,106,106,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,NY-600,48784,46629,44508,0,165,10104,33989,14790,8999,7680,6039,971,3238,5740,18599,18221,10799,7857,1594,4764,13835,139,139,139,139,5,21,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,NY-600,56154,53829,48963,0,296,11328,39026,17124,7659,6303,5944,940,3016,4643,19599,19293,10921,8877,1519,4482,15117,139,139,139,139,4,0,false,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2014,NY-600,61056,58731,53421,0,160,11924,42015,19041,5454,4661,4153,440,1278,4176,21813,21541,11275,,1765,4818,16995,152,152,152,152,0,0,false,0,364,364,0,101,359,5,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,NY-600,69927,67828,61936,0,0,13463,46868,23059,4979,4318,3715,379,1124,3855,26722,26309,14159,,1957,5607,21115,162,162,162,162,0,0,false,0,2506,2506,0,610,2232,274,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2016,NY-600,68686,66616,63237,0,224,13597,45171,23515,4197,3521,3012,367,1096,3101,28640,28240,15246,,1807,5232,23408,162,162,162,162,0,0,false,0,1010,1010,0,0,0,1010,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2017,NY-600,73675,70816,70100,0,0,14988,48490,25185,3150,3099,1784,96,329,2821,28078,27769,16179,16093,1817,5306,22772,40,40,40,40,0,0,false,0,2567,2567,2567,304,992,1575,0,false,false,0,0,0,0,0,0,0,148,97,154,360,40,0,2567,10,4916,385,0,0
2018,NY-600,74543,71300,64603,52,494,14839,47135,27408,3041,3041,1566,21,42,2999,29266,28691,14681,18561,1865,5540,23726,40,40,40,40,0,0,false,0,1380,1380,1380,357,865,515,0,false,false,0,0,0,0,0,0,0,147,315,158,474,40,0,894,28,4927,557,0,0
2007,NY-601,233,203,173,0,23,69,161,72,207,172,160,48,119,88,150,150,119,0,35,83,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,NY-601,252,222,175,0,31,79,178,74,224,189,172,48,116,108,134,134,99,0,33,75,59,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,NY-601,224,180,150,0,24,75,134,90,232,197,180,48,114,118,148,148,108,13,33,77,71,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,NY-601,244,200,150,0,24,86,154,90,223,188,180,45,105,118,151,151,116,17,34,81,70,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,NY-601,264,220,138,0,34,95,178,86,197,162,158,45,105,92,197,197,112,29,40,98,99,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,NY-601,264,220,138,0,10,95,178,86,202,167,159,47,109,93,173,173,117,20,33,76,97,0,0,0,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,NY-601,246,202,120,0,16,73,178,68,204,169,161,40,103,101,176,176,118,22,32,76,100,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2014,NY-601,242,198,132,0,13,67,157,73,204,169,161,40,101,103,193,193,125,,36,89,104,0,0,0,0,12,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,NY-601,229,187,121,0,0,57,129,88,201,162,89,42,109,91,163,163,7,,29,73,90,0,0,0,0,12,1,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2016,NY-601,223,181,119,0,0,56,122,87,200,160,157,42,112,87,204,204,20,,30,71,133,0,0,0,0,14,1,false,0,36,36,0,0,0,36,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2017,NY-601,216,186,185,2,3,46,109,94,192,156,156,27,76,116,212,212,193,48,29,72,140,0,0,0,0,13,0,false,0,58,58,58,0,0,58,0,false,false,0,0,0,0,0,0,0,1,16,4,10,0,0,6,4,48,0,0,0
2018,NY-601,233,199,198,0,4,46,109,112,194,152,152,31,83,111,169,169,145,52,17,44,125,0,0,0,0,12,0,false,0,56,56,56,0,0,56,0,false,false,55,55,34,6,19,36,0,0,17,3,10,0,0,0,0,23,3,25,0
2007,NY-602,122,109,28,0,70,9,36,86,45,45,45,16,45,0,437,437,243,154,106,230,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,NY-602,108,99,0,19,60,13,45,63,45,45,0,16,45,0,479,479,479,163,111,257,222,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,NY-602,102,93,60,0,217,13,39,63,45,45,0,16,45,0,477,477,329,35,111,296,181,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,NY-602,139,126,93,0,197,17,62,77,46,46,46,16,46,0,240,240,240,55,50,125,115,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,NY-602,209,196,176,0,36,44,97,112,46,46,46,16,46,0,247,247,213,55,64,136,111,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,NY-602,234,221,186,0,88,31,92,129,55,55,55,16,45,10,265,265,255,62,53,151,114,0,0,0,0,13,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,NY-602,220,205,159,0,31,38,78,129,52,52,52,16,42,10,277,277,259,63,54,154,123,0,0,0,0,13,0,false,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2014,NY-602,200,183,139,30,28,33,74,113,49,49,49,16,39,10,291,291,268,,55,163,128,0,0,0,0,13,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,NY-602,201,184,140,39,85,33,74,114,48,48,48,16,38,10,280,280,252,,46,146,134,0,0,0,0,13,0,false,0,0,0,0,0,0,0,0,false,false,19,19,19,6,19,0,0,,,,,,,,,,,,
2016,NY-602,213,196,181,43,50,35,80,120,58,58,58,16,48,10,306,306,272,,54,138,168,0,0,0,0,13,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2017,NY-602,221,204,184,53,46,35,80,128,58,58,58,16,48,10,336,336,283,197,55,146,190,0,0,0,0,13,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,55,0,30,0,0,0,0,60,74,0,0
2018,NY-602,232,215,184,46,129,35,80,139,54,54,54,16,44,10,345,334,305,298,68,167,178,0,0,0,0,13,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,55,0,30,0,0,0,0,67,69,0,0
2007,NY-603,1542,1542,129,35,0,349,1258,284,362,362,189,54,196,166,1153,1153,721,48,208,827,326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,NY-603,1607,1607,408,64,0,396,1308,299,130,130,117,9,38,92,1071,1071,770,128,195,764,307,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,NY-603,1288,1288,533,84,0,287,1122,166,382,382,363,85,285,97,806,806,631,80,140,443,363,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,NY-603,1716,1716,513,107,0,404,1509,207,525,525,505,85,414,111,1066,1066,948,75,190,705,361,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,NY-603,1279,1279,568,70,400,265,1067,212,621,621,493,81,401,220,1519,1519,1107,80,243,971,548,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,NY-603,1743,1709,1085,102,892,450,1345,384,785,707,622,117,496,289,2188,2164,1700,59,368,1244,944,0,0,0,0,14,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,NY-603,2115,2053,1453,150,538,516,1679,433,765,673,597,132,516,247,2092,2065,1431,89,361,1193,899,0,0,0,0,3,2,false,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2014,NY-603,2318,2244,1105,85,535,565,1877,434,559,502,449,108,335,224,2121,2096,1617,,351,1245,876,0,0,0,0,7,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,NY-603,2443,2369,1085,93,900,582,1954,482,548,491,453,108,327,221,2351,2326,1705,,385,1365,986,0,0,0,0,7,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2016,NY-603,3336,3267,1881,99,371,710,2580,750,611,581,511,113,401,210,2657,2630,1982,,403,1411,1246,0,0,0,0,6,0,false,0,129,88,0,25,63,66,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2017,NY-603,3080,3010,2791,0,1020,710,2461,615,240,209,209,29,83,157,2503,2503,2480,923,590,1536,967,0,0,0,0,4,0,false,0,132,89,89,34,93,39,0,false,false,16,10,10,5,14,2,0,77,79,76,44,0,0,89,0,654,5,0,0
2018,NY-603,2757,2683,2655,0,1101,631,2161,596,172,155,155,22,59,113,2379,2373,2329,1247,403,1201,1178,12,12,12,12,0,0,false,0,180,99,99,55,159,21,0,false,false,0,0,0,0,0,0,0,54,58,48,21,12,0,27,0,650,5,0,0
2007,NY-604,515,417,147,0,0,56,119,396,1764,1764,514,406,1624,140,764,764,763,0,98,256,508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,NY-604,491,393,49,72,0,56,119,372,1736,1736,514,399,1596,140,949,949,948,115,99,258,691,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,NY-604,496,404,403,67,0,53,113,383,1526,1526,1526,351,1404,122,1089,1089,1055,109,151,417,672,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
